"Table 1. Respondent profile, overall, by province/territory, by sex and by age group, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Overall,Males,Females,Ages 18-26,Ages 27-49,Ages 50-64,Ages 65-79,Ages 80+,,,,,,,,,,,,,,,,,,,,,,
,,[22.0-38.7],,[27.9-51.3],,[10.8-33.4],,,,[18.4-40.7],,,,,,,,,,,,,,,,,,,,
No,209,70.30%,99,61.10%,102,80.20%,#,#,117,71.80%,#,#,#,#,#,#,#,#,#,#,,,,,,,,,,
,,[61.3-78.0],,[48.7-72.1],,[66.6-89.2],,,,[59.3-81.6],,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 vaccines refer to those that have been approved for use in Canada.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nil indicates no response was provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¹ For respondents who have reported receiving one (1) dose of a COVID-19 vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People with chronic health conditions refers to people with at least one chronic health condition listed in table 2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Health care workers refers to all respondents who work in a health care setting (defined by question G9, answer option 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 19d. Number of doses of COVID-19 vaccine received, by province/territory, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D2. How many doses of the COVID-19 vaccines have you received so far? (n=11,110); (n(000s)=27,094)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Canada,,Newfoundland and Labrador,,Prince Edward Island,,Nova Scotia,,New Brunswick,,Quebec,,Ontario,,Manitoba,,Saskatchewan,,Alberta,,British Columbia,,Yukon,,Northwest Territories,,Nunavut,,,
,n,Weighted %,n,Weighted %,n,Weighted %,n,Weighted %,n,Weighted %,n,Weighted %,n,Weighted %,n,Weighted %,n,Weighted %,n,Weighted %,n,Weighted %,n,Weighted %,n,Weighted %,n,Weighted %,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One (1) dose,333,1.20%,#,#,#,#,13,1.70%,#,#,98,1.5%+,91,0.90%,11,1.10%,15,2.00%,51,1.70%,40,1.10%,#,#,#,#,Nil,Nil,,
,,[1.0-1.5],,,,,,[0.9-3.3],,,,[1.1-2.1],,[0.6-1.3],,[0.5-2.5],,[1.0-3.8],,[1.2-2.6],,[0.7-1.7],,,,,,,,
Two (2) doses,"7,065",26.10%,113,28.20%,33,28.20%,182,24.20%,166,27.60%,"1,552",24.60%,"2,573",24.60%,258,26.90%,204,27.20%,"1,045",36.10%,919,24.5%+,7,23.80%,7,25.90%,6,30.1%*,,
,,[25.3-26.9],,[23.9-32.8],,[23.8-33.0],,[20.6-28.2],,[23.5-32.0],,[22.8-26.4],,[23.1-26.1],,[23.1-31.1],,[23.2-31.6],,[33.5-38.7],,[22.4-26.8],,[18.1-30.6],,[18.1-35.7],,[17.5-46.6],,
Three (3) doses,"9,873",36.40%,161,40.30%,45,38.70%,305,40.60%,209,34.70%,"2,277",36.00%,"3,906",37.30%,376,39.30%,257,34.20%,"1,029",35.5%-,"1,286",34.30%,8,26.90%,10,35.10%,5,23.40%,,
,,[35.6-37.3],,[35.5-45.2],,[33.9-43.8],,[36.3-45.0],,[30.3-39.3],,[34.1-38.0],,[35.6-39.0],,[35.0-43.8],,[29.9-38.8],,[33.0-38.1],,[31.9-36.7],,[20.9-33.8],,[26.1-45.2],,[12.4-39.6],,
Four (4) or more,"9,823",36.30%,121,30.30%,37,31.90%,252,33.5%+,220,36.5%+,"2,392",37.90%,"3,899",37.20%,313,32.70%,275,36.60%,774,26.70%,"1,506",40.10%,14,48.00%,10,36.5%-,9,46.5%+,,
,,[35.4-37.2],,[25.9-35.1],,[27.3-36.8],,[29.5-37.8],,[32.1-41.2],,[35.9-39.9],,[35.6-38.9],,[28.6-37.0],,[32.2-41.3],,[24.4-29.2],,[37.7-42.7],,[40.7-55.3],,[27.4-46.6],,[31.2-62.6],,
D3. Was your vaccine Johnson and Johnson’s Janssen? (n=112); (n(000s)=297)¹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,88,29.70%,#,#,#,#,#,#,#,#,#,#,#,#,Nil,Nil,#,#,#,#,#,#,Nil,Nil,Nil,Nil,Nil,Nil,,
,,[22.0-38.7],,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,209,70.30%,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,,
,,[61.3-78.0],,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 vaccines refer to those that have been approved for use in Canada.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nil indicates no response was provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¹ For respondents who have reported receiving one (1) dose of a COVID-19 vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People with chronic health conditions refers to people with at least one chronic health condition listed in table 2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Health care workers refers to all respondents who work in a health care setting (defined by question G9, answer option 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 20. Respondents' reasons for getting vaccinated against COVID-19, overall, by sex, by age group, among people with chronic health conditions, and among health care workers, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D4. Why did you get the COVID-19 vaccine? (n=11,028); (n(000s)=26,873)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,Ages 50-64,,Ages 65-79,,Ages 80+,,People with chronic health conditions,,Health care workers,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To protect myself and/or household members against COVID-19 infection,"19,586",72.90%,"8,870",69.00%,"10,516",76.30%,"2,121",71.70%,"7,328",71.20%,"5,801",72.70%,"4,005",76.80%,329,75.60%,"6,090",76.10%,"2,162",74.5%-,,,,,,,,,,
,,[72.0-73.7],,[67.8-70.3],,[75.2-77.4],,[68.5-74.8],,[69.8-72.6],,[71.2-74.2],,[75.0-78.4],,[69.3-81.0],,[74.7-77.5],,[71.9-76.9],,,,,,,,,,
Based on public health recommendations,"15,699",58.40%,"7,293",56.80%,"8,274",60.00%,"1,570",53.10%,"5,857",56.90%,"4,667",58.5%+,"3,355",64.30%,251,57.5%+,"4,888",61.10%,"1,726",59.5%-,,,,,,,,,,
,,[57.5-59.3],,[55.4-58.1],,[58.8-61.3],,[49.6-56.6],,[55.4-58.4],,[56.9-60.1],,[62.3-66.2],,[50.6-64.1],,[59.5-62.7],,[56.6-62.2],,,,,,,,,,
To prevent the spread of COVID-19 in my community,"16,285",60.60%,"7,303",56.80%,"8,832",64.10%,"1,750",59.20%,"6,194",60.20%,"4,822",60.5%-,"3,282",62.90%,236,54.10%,"4,976",62.20%,"1,865",64.30%,,,,,,,,,,
,,[59.7-61.5],,[55.5-58.2],,[62.8-65.3],,[55.8-62.6],,[58.7-61.7],,[58.8-62.0],,[60.9-64.8],,[47.2-60.8],,[60.6-63.8],,[61.5-66.9],,,,,,,,,,
The COVID-19 vaccine was recommended by a health care professional,"9,699",36.10%,"4,546",35.40%,"5,065",36.80%,"1,000",33.80%,"3,576",34.80%,"2,816",35.30%,"2,112",40.5%-,195,44.70%,"3,360",42.00%,"1,157",39.90%,,,,,,,,,,
,,[35.2-37.0],,[34.1-36.7],,[35.5-38.0],,[30.6-37.2],,[33.3-36.2],,[33.7-36.9],,[38.5-42.5],,[38.0-51.6],,[40.4-43.6],,[37.1-42.7],,,,,,,,,,
To help restore a more normal life¹,"15,155",56.40%,"7,070",55.00%,"7,945",57.60%,"1,858",62.90%,"6,238",60.60%,"4,279",53.60%,"2,598",49.80%,181,41.70%,"4,394",54.90%,"1,546",53.30%,,,,,,,,,,
,,[55.5-57.3],,[53.7-56.4],,[56.4-58.9],,[59.4-66.1],,[59.1-62.1],,[52.0-55.3],,[47.8-51.8],,[35.1-48.5],,[53.3-56.6],,[50.4-56.1],,,,,,,,,,
It was mandatory/forced/etc.,"1,997",7.40%,"1,073",8.40%,911,6.60%,380,12.80%,964,9.40%,514,6.40%,131,2.5%+,#,#,528,6.60%,371,12.80%,,,,,,,,,,
,,[7.0-7.9],,[7.6-9.1],,[6.0-7.3],,[10.7-15.3],,[8.5-10.3],,[5.7-7.3],,[1.9-3.2],,,,[5.8-7.5],,[11.0-14.8],,,,,,,,,,
Other reasons,464,1.70%,242,1.90%,213,1.5%+,56,1.90%,172,1.70%,156,2.00%,74,1.40%,#,#,154,1.90%,46,1.60%,,,,,,,,,,
,,[1.5-2.0],,[1.6-2.3],,[1.3-1.9],,[1.1-3.1],,[1.3-2.1],,[1.6-2.5],,[1.0-2.0],,,,[1.5-2.4],,[1.0-2.5],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: respondents could select more than one reason; percentages will not sum to 100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"¹ e.g., to lift public health measures, participate in extra-curricular activities, travel, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People with chronic health conditions refers to people with at least one chronic health condition listed in table 2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Health care workers refers to all respondents who work in a health care setting (defined by question G9, answer option 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 21a. Percentage of respondents who were hesitant or reluctant to get vaccinated against COVID-19 and reasons why, overall, by sex, by age group, among people with chronic health conditions, and among health care workers, Canada, 2023†",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D5. Were you hesitant or reluctant to get the COVID-19 vaccine? (n=11,776); (n(000s)=28,754)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,Ages 50-64,,Ages 65-79,,Ages 80+,,People with chronic health conditions,,Health care workers,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"8,443",29.40%,"3,892",28.00%,"4,446",30.5%+,"1,058",32.80%,"4,094",36.5%-,"2,351",27.90%,879,16.30%,61,12.90%,"2,203",26.00%,964,31.90%,,,,,,,,,,
,,[28.5-30.2],,[26.9-29.2],,[29.4-31.7],,[29.7-36.0],,[35.1-37.9],,[26.5-29.3],,[14.9-17.8],,[9.1-18.0],,[24.6-27.4],,[29.4-34.6],,,,,,,,,,
No,"20,311",70.60%,"10,001",72.00%,"10,123",69.5%-,"2,169",67.20%,"7,131",63.5%+,"6,079",72.10%,"4,522",83.70%,410,87.10%,"6,278",74.00%,"2,053",68.10%,,,,,,,,,,
,,[69.8-71.4],,[70.8-73.1],,[68.3-70.6],,[64.0-70.3],,[62.1-64.9],,[70.7-73.5],,[82.2-85.1] ,,[82.0-90.9],,[72.6-75.4],,[65.4-70.6],,,,,,,,,,
"D7. Why were you hesitant to get vaccinated against COVID-19? (n=3,345)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do/did not think I am at risk of getting COVID-19 or at risk of severe effects from infection,"1,325",16.10%,842,22.30%,470,10.80%,269,26.20%,760,19.10%,222,9.70%,30,7.40%,#,#,241,11.20%,105,11.10%,,,,,,,,,,
,,[14.9-17.4],,[20.2-24.4],,[9.4-12.3],,[21.4-31.8],,[17.3-21.1],,[8.0-11.6],,[5.2-10.4],,,,[9.3-13.4],,[8.4-14.7],,,,,,,,,,
I want/wanted to first discuss COVID-19 vaccines with my health care practitioner,568,6.90%,202,5.40%,356,8.20%,53,5.20%,271,6.80%,188,8.20%,57,6.5%+,Nil,Nil,226,10.5%+,67,7.10%,,,,,,,,,,
,,[6.1-7.8],,[4.3-6.6],,[7.0-9.5],,[3.1-8.5],,[5.7-8.2],,[6.6-10.0],,[4.5-9.4],,,,[8.7-12.7],,[4.9-10.1],,,,,,,,,,
Concerns that not enough research on the vaccine has been done,"5,137",62.40%,"2,278",60.20%,"2,805",64.40%,691,67.20%,"2,582",65.00%,"1,310",56.90%,509,58.60%,#,#,"1,373",64.10%,604,64.00%,,,,,,,,,,
,,[60.8-64.0],,[57.8-62.7],,[62.2-66.6],,[61.4-72.5],,[62.6-67.3],,[53.9-59.9],,[53.6-63.4],,,,[61.0-67.2],,[59.1-68.6],,,,,,,,,,
Concerns about the effectiveness of COVID-19 vaccines,"3,765",45.70%,"1,773",46.90%,"1,943",44.60%,515,50.20%,"1,915",48.20%,953,41.40%,359,41.30%,#,#,946,44.20%,373,39.5%+,,,,,,,,,,
,,[44.1-47.4],,[44.4-49.4],,[42.3-46.9],,[44.3-56.1],,[45.8-50.7],,[38.5-44.4],,[36.5-46.3],,,,[41.0-47.4],,[34.8-44.5],,,,,,,,,,
Concerns about the safety of COVID-19 vaccines and/or side effects,"5,227",63.5%+,"2,243",59.30%,"2,925",67.20%,650,63.30%,"2,637",66.40%,"1,402",61.00%,511,58.80%,#,#,"1,381",64.5%-,592,62.70%,,,,,,,,,,
,,[61.9-65.1],,[56.8-61.8],,[65.0-69.3],,[57.4-68.8],,[64.0-68.7],,[58.0-63.9],,[53.8-63.6],,,,[61.3-67.5],,[57.8-67.4],,,,,,,,,,
Lack of trust in the government,"3,011",36.60%,"1,617",42.80%,"1,339",30.80%,453,44.10%,"1,486",37.40%,744,32.30%,298,34.30%,#,#,752,35.10%,242,25.70%,,,,,,,,,,
,,[35.0-38.2],,[40.3-45.3],,[28.7-32.9],,[38.3-50.0],,[35.1-39.8],,[29.6-35.2],,[29.7-39.1],,,,[32.1-38.3],,[21.6-30.3],,,,,,,,,,
Bad experience or reaction with previous vaccination,686,8.30%,240,6.30%,430,9.90%,99,9.60%,371,9.30%,153,6.70%,55,6.30%,#,#,238,11.10%,87,9.20%,,,,,,,,,,
,,[7.4-9.3],,[5.2-7.7],,[8.6-11.4],,[6.7-13.7],,[8.0-10.8],,[5.3-8.3],,[4.3-9.1],,,,[9.2-13.3],,[6.7-12.5],,,,,,,,,,
Do/did not know where to get reliable information,"1,024",12.40%,468,12.40%,538,12.40%,249,24.30%,486,12.20%,206,9.00%,79,9.10%,#,#,254,11.90%,98,10.40%,,,,,,,,,,
,,[11.4-13.6],,[10.8-14.1],,[10.9-14.0],,[19.6-29.7],,[10.7-13.9],,[7.4-10.8],,[6.6-12.4],,,,[9.9-14.1],,[7.7-13.8],,,,,,,,,,
I already had a COVID-19 infection,952,11.60%,493,13.00%,440,10.10%,115,11.20%,555,14.00%,222,9.60%,59,6.80%,#,#,280,13.10%,71,7.5%-,,,,,,,,,,
,,[10.5-12.7],,[11.4-14.8],,[8.8-11.6],,[8.0-15.5],,[12.4-15.7],,[8.0-11.6],,[4.7-9.8],,,,[11.0-15.4],,[5.2-10.5],,,,,,,,,,
Religious or philosophical reasons,370,4.5%-,238,6.30%,126,2.90%,90,8.70%,180,4.5%+,72,3.10%,23,2.60%,#,#,66,3.10%,39,4.10%,,,,,,,,,,
,,[3.8-5.2],,[5.2-7.6],,[2.2-3.8],,[5.9-12.7],,[3.6-5.7],,[2.2-4.4],,[1.4-4.7],,,,[2.1-4.4],,[2.5-6.6],,,,,,,,,,
I had a bad experience with healthcare providers,172,2.10%,83,2.20%,87,2.00%,38,3.70%,106,2.70%,26,1.10%,Nil,Nil,#,#,51,2.40%,19,2.10%,,,,,,,,,,
,,[1.7-2.6],,[1.6-3.1],,[1.4-2.8],,[2.0-6.7],,[2.0-3.6],,[0.6-2.0],,,,,,[1.6-3.6],,[1.0-4.0],,,,,,,,,,
I anticipated racism or discrimination during my vaccine appointment,91,1.10%,56,1.5%-,31,0.70%,26,2.5%+,56,1.40%,#,#,#,#,Nil,Nil,20,0.90%,23,2.40%,,,,,,,,,,
,,[0.8-1.5],,[1.0-2.2],,[0.4-1.2],,[1.2-5.1],,[0.9-2.1],,,,,,,,[0.5-1.8],,[1.3-4.5],,,,,,,,,,
Other reasons,246,3.00%,164,4.30%,79,1.80%,36,3.5%-,141,3.5%+,54,2.40%,15,1.70%,#,#,44,2.00%,16,1.70%,,,,,,,,,,
,,[2.5-3.6],,[3.4-5.5],,[1.3-2.6],,[1.9-6.4],,[2.7-4.6],,[1.6-3.5],,[0.8-3.6],,,,[1.3-3.2],,[0.8-3.6],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
† Among all respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nil indicates no response was provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: respondents could select more than one reason; percentages will not sum to 100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People with chronic health conditions refers to people with at least one chronic health condition listed in table 2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Health care workers refers to all respondents who work in a health care setting (defined by question G9, answer option 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 21b. Percentage of respondents who were hesitant or reluctant to get vaccinated against COVID-19 and reasons why, by province/territory, Canada, 2023†",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D5. Were you hesitant or reluctant to get the COVID-19 vaccine? (n=11,776) AND D7. Why were you hesitant to get vaccinated against COVID-19? (n=3,345); (n(000s)=28,754)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Do/did not think I am at risk of getting COVID-19 or at risk of severe effects from infection,,I want/wanted to first discuss COVID-19 vaccines with my health care practitioner,,Concerns that not enough research on the vaccine has been done,,Concerns about the effectiveness of COVID-19 vaccines,,Concerns about the safety of COVID-19 vaccines and/or side effects,,Lack of trust in the government,,Bad experience or reaction with previous vaccination,,Do/did not know where to get reliable information,,I already had a COVID-19 infection,,Religious or philosophical reasons,,I had a bad experience with healthcare providers,,I anticipated racism or discrimination during my vaccine appointment,,Other reasons,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,"8,443",29.40%,"20,311",70.60%,"1,325",16.10%,568,6.90%,"5,137",62.40%,"3,765",45.70%,"5,227",63.5%+,"3,011",36.60%,686,8.30%,"1,024",12.40%,952,11.60%,370,4.5%-,172,2.10%,91,1.10%,246,3.00%
,,[28.5-30.2],,[69.8-71.4],,[14.9-17.4],,[6.1-7.8],,[60.8-64.0],,[44.1-47.4],,[61.9-65.1],,[35.0-38.2],,[7.4-9.3],,[11.4-13.6],,[10.5-12.7],,[3.8-5.2],,[1.7-2.6],,[0.8-1.5],,[2.5-3.6]
Newfoundland and Labrador,109,26.00%,311,74.00%,12,11.5%+,10,9.00%,62,57.20%,44,41.30%,70,65.30%,35,32.60%,7,6.40%,9,8.10%,8,7.00%,#,#,6,5.5%-,#,#,#,#
,,[22.0-30.5],,[69.5-78.0],,[6.7-19.1],,[4.9-16.0],,[47.7-66.3],,[32.3-50.8],,[55.8-73.7],,[24.4-42.1],,[3.1-12.8],,[4.3-14.9],,[3.5-13.6],,,,[2.5-11.6],,,,
Prince Edward Island,35,28.60%,87,71.40%,4,10.90%,4,11.30%,21,61.5%+,13,37.60%,20,60.00%,11,32.90%,3,9.10%,4,13.10%,3,8.90%,#,#,#,#,Nil,Nil,#,#
,,[24.3-33.3],,[66.7-75.7],,[6.3-18.4],,[6.6-18.8],,[51.9-70.3],,[28.9-47.2],,[50.4-68.9],,[24.7-42.4],,[4.9-16.1],,[7.9-20.9],,[4.8-15.9],,,,,,,,
Nova Scotia,170,21.80%,612,78.20%,26,15.20%,#,#,94,55.90%,65,38.5%+,100,59.70%,58,34.40%,20,12.20%,13,7.5%-,#,#,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
,,[18.4-25.6],,[74.4-81.6],,[9.7-23.0],,,,[46.7-64.7],,[30.1-47.7],,[50.5-68.3],,[26.3-43.6],,[7.4-19.5],,[3.9-13.9],,,,,,,,,,
New Brunswick,163,26.20%,461,73.80%,10,5.90%,18,11.20%,94,58.40%,63,39.40%,105,65.30%,51,31.70%,11,6.60%,17,10.70%,11,6.70%,Nil,Nil,#,#,#,#,#,#
,,[22.3-30.4],,[69.6-77.7],,[2.9-11.7],,[6.7-18.2],,[49.4-66.9],,[31.1-48.5],,[56.3-73.3],,[24.0-40.6],,[3.3-12.5],,[6.3-17.6],,[3.4-12.8],,,,,,,,
Quebec,"2,085",31.40%,"4,551",68.60%,269,13.40%,104,5.20%,"1,140",56.80%,923,46.00%,"1,167",58.20%,477,23.80%,158,7.90%,149,7.40%,219,10.90%,32,1.60%,#,#,#,#,38,1.90%
,,[29.6-33.3],,[66.7-70.4],,[11.2-16.1],,[3.8-7.0],,[53.2-60.4],,[42.4-49.6],,[54.6-61.7],,[20.9-27.0],,[6.1-10.0],,[5.8-9.6],,[8.8-13.4],,[0.9-2.8],,,,,,[1.1-3.1]
Ontario,"3,060",27.60%,"8,027",72.40%,506,16.90%,201,6.70%,"1,900",63.5%+,"1,334",44.60%,"1,869",62.5%-,"1,190",39.80%,255,8.5%+,456,15.20%,334,11.10%,176,5.90%,73,2.40%,36,1.20%,94,3.10%
,,[26.1-29.1],,[70.9-73.9],,[14.6-19.5],,[5.3-8.6],,[60.3-66.6],,[41.4-47.9],,[59.3-65.6],,[36.6-43.0],,[6.9-10.5],,[13.0-17.7],,[9.3-13.4],,[4.5-7.6],,[1.6-3.7],,[0.7-2.1],0,[2.2-4.5]
Manitoba,280,27.90%,723,72.10%,55,20.10%,12,4.30%,184,66.70%,125,45.30%,194,70.30%,110,40.00%,28,10.30%,40,14.5%-,29,10.40%,#,#,#,#,#,#,#,#
,,[24.2-32.1],,[67.9-75.8],,[14.1-27.8],,[1.9-9.3],,[58.3-74.3],,[37.0-53.9],,[61.9-77.5],,[32.0-48.6],,[6.2-16.8],,[9.4-21.5],,[6.2-16.8],,,,,,,,
Saskatchewan,251,30.5%+,571,69.5%-,55,22.20%,18,7.40%,163,66.10%,120,48.60%,152,61.60%,133,53.80%,31,12.60%,29,11.70%,45,18.30%,22,8.90%,9,3.60%,#,#,#,#
,,[26.5-34.9],,[65.1-73.5],,[16.1-29.9],,[4.1-13.1],,[57.8-73.5],,[40.4-56.9],,[53.3-69.4],,[45.4-61.9],,[8.1-19.2],,[7.3-18.1],,[12.7-25.6],,[5.2-14.9],,[1.5-8.2],,,,
