Public_health_unit,Antigen,Age,Year,Number_of_Doses,Proportion
Wellington-Dufferin-Guelph Public Health,HPV,12,2020-2021,0 doses,20.2
Wellington-Dufferin-Guelph Public Health,HPV,12,2021-2022,0 doses,20.7
Wellington-Dufferin-Guelph Public Health,HPV,12,2022-2023,0 doses,24
Wellington-Dufferin-Guelph Public Health,HPV,12,2023-2024,0 doses,30.3
Wellington-Dufferin-Guelph Public Health,HPV,12,2019-2020,1 dose,10.2
Wellington-Dufferin-Guelph Public Health,HPV,12,2020-2021,1 dose,8.3
Wellington-Dufferin-Guelph Public Health,HPV,12,2021-2022,1 dose,7.9
Wellington-Dufferin-Guelph Public Health,HPV,12,2022-2023,1 dose,10.8
Wellington-Dufferin-Guelph Public Health,HPV,12,2023-2024,1 dose,19.1
Wellington-Dufferin-Guelph Public Health,HPV,12,2019-2020,2 doses,70
Wellington-Dufferin-Guelph Public Health,HPV,12,2020-2021,2 doses,70.6
Wellington-Dufferin-Guelph Public Health,HPV,12,2021-2022,2 doses,71
Wellington-Dufferin-Guelph Public Health,HPV,12,2022-2023,2 doses,65.1
Wellington-Dufferin-Guelph Public Health,HPV,12,2023-2024,2 doses,50.5
Wellington-Dufferin-Guelph Public Health,HPV,12,2019-2020,3 or more doses,2.4
Wellington-Dufferin-Guelph Public Health,HPV,12,2020-2021,3 or more doses,0.9
Wellington-Dufferin-Guelph Public Health,HPV,12,2021-2022,3 or more doses,0.4
Wellington-Dufferin-Guelph Public Health,HPV,12,2022-2023,3 or more doses,0.2
Wellington-Dufferin-Guelph Public Health,HPV,12,2023-2024,3 or more doses,0.1
Windsor-Essex County Health Unit,Measles,7,2019-2020,0 doses,3.6
Windsor-Essex County Health Unit,Measles,7,2020-2021,0 doses,3.7
Windsor-Essex County Health Unit,Measles,7,2021-2022,0 doses,3.9
Windsor-Essex County Health Unit,Measles,7,2022-2023,0 doses,3.9
Windsor-Essex County Health Unit,Measles,7,2023-2024,0 doses,5.4
Windsor-Essex County Health Unit,Measles,7,2019-2020,1 dose,4.8
Windsor-Essex County Health Unit,Measles,7,2020-2021,1 dose,12.8
Windsor-Essex County Health Unit,Measles,7,2021-2022,1 dose,9.9
Windsor-Essex County Health Unit,Measles,7,2022-2023,1 dose,4.7
Windsor-Essex County Health Unit,Measles,7,2023-2024,1 dose,9.4
Windsor-Essex County Health Unit,Measles,7,2019-2020,2 or more doses,91.6
Windsor-Essex County Health Unit,Measles,7,2020-2021,2 or more doses,83.5
Windsor-Essex County Health Unit,Measles,7,2021-2022,2 or more doses,86.1
Windsor-Essex County Health Unit,Measles,7,2022-2023,2 or more doses,91.4
Windsor-Essex County Health Unit,Measles,7,2023-2024,2 or more doses,85.2
Windsor-Essex County Health Unit,HepB,12,2019-2020,0 doses,10.5
Windsor-Essex County Health Unit,HepB,12,2020-2021,0 doses,17.1
Windsor-Essex County Health Unit,HepB,12,2021-2022,0 doses,18.4
Windsor-Essex County Health Unit,HepB,12,2022-2023,0 doses,16.8
Windsor-Essex County Health Unit,HepB,12,2023-2024,0 doses,22.1
Windsor-Essex County Health Unit,HepB,12,2019-2020,1 dose,11.2
Windsor-Essex County Health Unit,HepB,12,2020-2021,1 dose,15.8
Windsor-Essex County Health Unit,HepB,12,2021-2022,1 dose,19.2
Windsor-Essex County Health Unit,HepB,12,2022-2023,1 dose,11.4
Windsor-Essex County Health Unit,HepB,12,2023-2024,1 dose,12.8
Windsor-Essex County Health Unit,HepB,12,2019-2020,2 doses,57.3
Windsor-Essex County Health Unit,HepB,12,2020-2021,2 doses,49.5
Windsor-Essex County Health Unit,HepB,12,2021-2022,2 doses,44.6
Windsor-Essex County Health Unit,HepB,12,2022-2023,2 doses,52.9
Windsor-Essex County Health Unit,HepB,12,2023-2024,2 doses,45.9
Windsor-Essex County Health Unit,HepB,12,2019-2020,3 or more doses,20.9
Windsor-Essex County Health Unit,HepB,12,2020-2021,3 or more doses,17.7
Windsor-Essex County Health Unit,HepB,12,2021-2022,3 or more doses,17.8
Windsor-Essex County Health Unit,HepB,12,2022-2023,3 or more doses,19
Windsor-Essex County Health Unit,HepB,12,2023-2024,3 or more doses,19.3
Windsor-Essex County Health Unit,HPV,12,2019-2020,0 doses,20.4
Windsor-Essex County Health Unit,HPV,12,2020-2021,0 doses,27.8
Windsor-Essex County Health Unit,HPV,12,2021-2022,0 doses,28.7
Windsor-Essex County Health Unit,HPV,12,2022-2023,0 doses,29.7
Windsor-Essex County Health Unit,HPV,12,2023-2024,0 doses,33.5
Windsor-Essex County Health Unit,HPV,12,2019-2020,1 dose,12
Windsor-Essex County Health Unit,HPV,12,2020-2021,1 dose,17
Windsor-Essex County Health Unit,HPV,12,2021-2022,1 dose,20.3
Windsor-Essex County Health Unit,HPV,12,2022-2023,1 dose,11.8
Windsor-Essex County Health Unit,HPV,12,2023-2024,1 dose,13.9
Windsor-Essex County Health Unit,HPV,12,2019-2020,2 doses,65.7
Windsor-Essex County Health Unit,HPV,12,2020-2021,2 doses,54.3
Windsor-Essex County Health Unit,HPV,12,2021-2022,2 doses,50.7
Windsor-Essex County Health Unit,HPV,12,2022-2023,2 doses,58.4
Windsor-Essex County Health Unit,HPV,12,2023-2024,2 doses,52.5
Windsor-Essex County Health Unit,HPV,12,2019-2020,3 or more doses,1.9
Windsor-Essex County Health Unit,HPV,12,2020-2021,3 or more doses,0.9
Windsor-Essex County Health Unit,HPV,12,2021-2022,3 or more doses,0.3
Windsor-Essex County Health Unit,HPV,12,2022-2023,3 or more doses,0.1
Windsor-Essex County Health Unit,HPV,12,2023-2024,3 or more doses,0.1
York Region Public Health,Measles,7,2019-2020,0 doses,9
York Region Public Health,Measles,7,2020-2021,0 doses,25.5
York Region Public Health,Measles,7,2021-2022,0 doses,46.6
York Region Public Health,Measles,7,2022-2023,0 doses,13
York Region Public Health,Measles,7,2023-2024,0 doses,10.8
York Region Public Health,Measles,7,2019-2020,1 dose,9.7
York Region Public Health,Measles,7,2020-2021,1 dose,26.8
York Region Public Health,Measles,7,2021-2022,1 dose,16.9
York Region Public Health,Measles,7,2022-2023,1 dose,11.8
York Region Public Health,Measles,7,2023-2024,1 dose,6.8
York Region Public Health,Measles,7,2019-2020,2 or more doses,81.3
York Region Public Health,Measles,7,2020-2021,2 or more doses,47.6
York Region Public Health,Measles,7,2021-2022,2 or more doses,36.4
York Region Public Health,Measles,7,2022-2023,2 or more doses,75.2
York Region Public Health,Measles,7,2023-2024,2 or more doses,82.4
York Region Public Health,HepB,12,2019-2020,0 doses,13.6
York Region Public Health,HepB,12,2020-2021,0 doses,22.2
York Region Public Health,HepB,12,2021-2022,0 doses,18.2
York Region Public Health,HepB,12,2022-2023,0 doses,16.6
York Region Public Health,HepB,12,2023-2024,0 doses,21
York Region Public Health,HepB,12,2019-2020,1 dose,13.6
York Region Public Health,HepB,12,2020-2021,1 dose,11.1
York Region Public Health,HepB,12,2021-2022,1 dose,10.6
York Region Public Health,HepB,12,2022-2023,1 dose,6.7
York Region Public Health,HepB,12,2023-2024,1 dose,10.8
York Region Public Health,HepB,12,2019-2020,2 doses,32.1
York Region Public Health,HepB,12,2020-2021,2 doses,29.5
York Region Public Health,HepB,12,2021-2022,2 doses,33.3
York Region Public Health,HepB,12,2022-2023,2 doses,37.4
York Region Public Health,HepB,12,2023-2024,2 doses,30.9
York Region Public Health,HepB,12,2019-2020,3 or more doses,40.6
York Region Public Health,HepB,12,2020-2021,3 or more doses,37.2
York Region Public Health,HepB,12,2021-2022,3 or more doses,37.9
York Region Public Health,HepB,12,2022-2023,3 or more doses,39.3
York Region Public Health,HepB,12,2023-2024,3 or more doses,37.3
York Region Public Health,HPV,12,2019-2020,0 doses,20.3
York Region Public Health,HPV,12,2020-2021,0 doses,32.7
York Region Public Health,HPV,12,2021-2022,0 doses,28.4
York Region Public Health,HPV,12,2022-2023,0 doses,26.2
York Region Public Health,HPV,12,2023-2024,0 doses,31.4
York Region Public Health,HPV,12,2019-2020,1 dose,20
York Region Public Health,HPV,12,2020-2021,1 dose,15.7
York Region Public Health,HPV,12,2021-2022,1 dose,15.5
York Region Public Health,HPV,12,2022-2023,1 dose,9.4
York Region Public Health,HPV,12,2023-2024,1 dose,15.8
York Region Public Health,HPV,12,2019-2020,2 doses,57.1
York Region Public Health,HPV,12,2020-2021,2 doses,50.5
York Region Public Health,HPV,12,2021-2022,2 doses,55.7
York Region Public Health,HPV,12,2022-2023,2 doses,64.1
York Region Public Health,HPV,12,2023-2024,2 doses,52.7
York Region Public Health,HPV,12,2019-2020,3 or more doses,2.6
York Region Public Health,HPV,12,2020-2021,3 or more doses,1.1
York Region Public Health,HPV,12,2021-2022,3 or more doses,0.4
York Region Public Health,HPV,12,2022-2023,3 or more doses,0.3
York Region Public Health,HPV,12,2023-2024,3 or more doses,0.1
Ontario,Measles,7,2019-2020,0 doses,3.6
Ontario,Measles,7,2020-2021,0 doses,6
Ontario,Measles,7,2021-2022,0 doses,10.8
Ontario,Measles,7,2022-2023,0 doses,11.8
Ontario,Measles,7,2023-2024,0 doses,14.8
Ontario,Measles,7,2019-2020,1 dose,10.3
Ontario,Measles,7,2020-2021,1 dose,26.6
Ontario,Measles,7,2021-2022,1 dose,23.6
Ontario,Measles,7,2022-2023,1 dose,18.4
Ontario,Measles,7,2023-2024,1 dose,14.8
Ontario,Measles,7,2019-2020,2 or more doses,86.1
Ontario,Measles,7,2020-2021,2 or more doses,67.4
Ontario,Measles,7,2021-2022,2 or more doses,65.5
Ontario,Measles,7,2022-2023,2 or more doses,69.8
Ontario,Measles,7,2023-2024,2 or more doses,70.4
Ontario,HepB,12,2019-2020,0 doses,11.6
Ontario,HepB,12,2020-2021,0 doses,22.5
Ontario,HepB,12,2021-2022,0 doses,18.5
Ontario,HepB,12,2022-2023,0 doses,17.2
Ontario,HepB,12,2023-2024,0 doses,22.4
Ontario,HepB,12,2019-2020,1 dose,21.4
Ontario,HepB,12,2020-2021,1 dose,16.9
Ontario,HepB,12,2021-2022,1 dose,13
Ontario,HepB,12,2022-2023,1 dose,8.6
Ontario,HepB,12,2023-2024,1 dose,12.7
Ontario,HepB,12,2019-2020,2 doses,42
Ontario,HepB,12,2020-2021,2 doses,38.4
Ontario,HepB,12,2021-2022,2 doses,46.5
Ontario,HepB,12,2022-2023,2 doses,51.7
Ontario,HepB,12,2023-2024,2 doses,43.3
Ontario,HepB,12,2019-2020,3 or more doses,25
Ontario,HepB,12,2020-2021,3 or more doses,22.2
Ontario,HepB,12,2021-2022,3 or more doses,22
Ontario,HepB,12,2022-2023,3 or more doses,22.5
Ontario,HepB,12,2023-2024,3 or more doses,21.6
Ontario,HPV,12,2019-2020,0 doses,19.9
Ontario,HPV,12,2020-2021,0 doses,33
Ontario,HPV,12,2021-2022,0 doses,27.9
Ontario,HPV,12,2022-2023,0 doses,26.5
Ontario,HPV,12,2023-2024,0 doses,32.2
Ontario,HPV,12,2019-2020,1 dose,26.9
Ontario,HPV,12,2020-2021,1 dose,20
Ontario,HPV,12,2021-2022,1 dose,15.4
Ontario,HPV,12,2022-2023,1 dose,9.8
Ontario,HPV,12,2023-2024,1 dose,15.4
Ontario,HPV,12,2019-2020,2 doses,51.5
Ontario,HPV,12,2020-2021,2 doses,46
Ontario,HPV,12,2021-2022,2 doses,56.3
Ontario,HPV,12,2022-2023,2 doses,63.4
Ontario,HPV,12,2023-2024,2 doses,52.3
Ontario,HPV,12,2019-2020,3 or more doses,1.7
Ontario,HPV,12,2020-2021,3 or more doses,1
Ontario,HPV,12,2021-2022,3 or more doses,0.4
Ontario,HPV,12,2022-2023,3 or more doses,0.2
Ontario,HPV,12,2023-2024,3 or more doses,0.1
Toronto Public Health,Measles,7,2019-2020,0 doses,3.7
Toronto Public Health,Measles,7,2020-2021,0 doses,3.3
Toronto Public Health,Measles,7,2021-2022,0 doses,12.2
Toronto Public Health,Measles,7,2022-2023,0 doses,27.6
Toronto Public Health,Measles,7,2023-2024,0 doses,20.9
Toronto Public Health,Measles,7,2019-2020,1 dose,15.6
Toronto Public Health,Measles,7,2020-2021,1 dose,26.7
Toronto Public Health,Measles,7,2021-2022,1 dose,26
Toronto Public Health,Measles,7,2022-2023,1 dose,19.9
Toronto Public Health,Measles,7,2023-2024,1 dose,10.1
Toronto Public Health,Measles,7,2019-2020,2 or more doses,80.7
Toronto Public Health,Measles,7,2020-2021,2 or more doses,70
Toronto Public Health,Measles,7,2021-2022,2 or more doses,61.8
Toronto Public Health,Measles,7,2022-2023,2 or more doses,52.5
Toronto Public Health,Measles,7,2023-2024,2 or more doses,69
Toronto Public Health,HepB,12,2019-2020,0 doses,12.4
Toronto Public Health,HepB,12,2020-2021,0 doses,27.7
Toronto Public Health,HepB,12,2021-2022,0 doses,20.6
Toronto Public Health,HepB,12,2022-2023,0 doses,19.9
Toronto Public Health,HepB,12,2023-2024,0 doses,24.6
Toronto Public Health,HepB,12,2019-2020,1 dose,21.1
Toronto Public Health,HepB,12,2020-2021,1 dose,15.1
Toronto Public Health,HepB,12,2021-2022,1 dose,12.2
Toronto Public Health,HepB,12,2022-2023,1 dose,6.8
Toronto Public Health,HepB,12,2023-2024,1 dose,9.2
Toronto Public Health,HepB,12,2019-2020,2 doses,30.9
Toronto Public Health,HepB,12,2020-2021,2 doses,26.3
Toronto Public Health,HepB,12,2021-2022,2 doses,36.3
Toronto Public Health,HepB,12,2022-2023,2 doses,44
Toronto Public Health,HepB,12,2023-2024,2 doses,38.4
Toronto Public Health,HepB,12,2019-2020,3 or more doses,35.6
Toronto Public Health,HepB,12,2020-2021,3 or more doses,30.9
Toronto Public Health,HepB,12,2021-2022,3 or more doses,30.9
Toronto Public Health,HepB,12,2022-2023,3 or more doses,29.3
Toronto Public Health,HepB,12,2023-2024,3 or more doses,27.8
Toronto Public Health,HPV,12,2019-2020,0 doses,19.9
Toronto Public Health,HPV,12,2020-2021,0 doses,41.2
Toronto Public Health,HPV,12,2021-2022,0 doses,30.1
Toronto Public Health,HPV,12,2022-2023,0 doses,29
Toronto Public Health,HPV,12,2023-2024,0 doses,34.1
Toronto Public Health,HPV,12,2019-2020,1 dose,31
Toronto Public Health,HPV,12,2020-2021,1 dose,20.5
Toronto Public Health,HPV,12,2021-2022,1 dose,16
Toronto Public Health,HPV,12,2022-2023,1 dose,8.4
Toronto Public Health,HPV,12,2023-2024,1 dose,11.7
Toronto Public Health,HPV,12,2019-2020,2 doses,46.7
Toronto Public Health,HPV,12,2020-2021,2 doses,37.2
Toronto Public Health,HPV,12,2021-2022,2 doses,53.2
Toronto Public Health,HPV,12,2022-2023,2 doses,62.3
Toronto Public Health,HPV,12,2023-2024,2 doses,54.1
Toronto Public Health,HPV,12,2019-2020,3 or more doses,2.4
Toronto Public Health,HPV,12,2020-2021,3 or more doses,1.1
Toronto Public Health,HPV,12,2021-2022,3 or more doses,0.7
Toronto Public Health,HPV,12,2022-2023,3 or more doses,0.2
Toronto Public Health,HPV,12,2023-2024,3 or more doses,0.1
Southwestern Public Health,Measles,7,2019-2020,0 doses,8.2
Southwestern Public Health,Measles,7,2020-2021,0 doses,8.4
Southwestern Public Health,Measles,7,2021-2022,0 doses,7.3
Southwestern Public Health,Measles,7,2022-2023,0 doses,7.3
Southwestern Public Health,Measles,7,2023-2024,0 doses,8.8
Southwestern Public Health,Measles,7,2019-2020,1 dose,6.6
Southwestern Public Health,Measles,7,2020-2021,1 dose,8.8
Southwestern Public Health,Measles,7,2021-2022,1 dose,11.9
Southwestern Public Health,Measles,7,2022-2023,1 dose,4.8
Southwestern Public Health,Measles,7,2023-2024,1 dose,3.4
Southwestern Public Health,Measles,7,2019-2020,2 or more doses,85.2
Southwestern Public Health,Measles,7,2020-2021,2 or more doses,82.8
Southwestern Public Health,Measles,7,2021-2022,2 or more doses,80.9
Southwestern Public Health,Measles,7,2022-2023,2 or more doses,87.9
Southwestern Public Health,Measles,7,2023-2024,2 or more doses,87.8
Southwestern Public Health,HepB,12,2019-2020,0 doses,18.4
Southwestern Public Health,HepB,12,2020-2021,0 doses,21.2
Southwestern Public Health,HepB,12,2021-2022,0 doses,20
Southwestern Public Health,HepB,12,2022-2023,0 doses,20.5
Southwestern Public Health,HepB,12,2023-2024,0 doses,25.1
Southwestern Public Health,HepB,12,2019-2020,1 dose,8.2
Southwestern Public Health,HepB,12,2020-2021,1 dose,7.1
Southwestern Public Health,HepB,12,2021-2022,1 dose,6.5
Southwestern Public Health,HepB,12,2022-2023,1 dose,8
Southwestern Public Health,HepB,12,2023-2024,1 dose,11
Southwestern Public Health,HepB,12,2019-2020,2 doses,66
Southwestern Public Health,HepB,12,2020-2021,2 doses,64.7
Southwestern Public Health,HepB,12,2021-2022,2 doses,65.9
Southwestern Public Health,HepB,12,2022-2023,2 doses,64.4
Southwestern Public Health,HepB,12,2023-2024,2 doses,54.9
Southwestern Public Health,HepB,12,2019-2020,3 or more doses,7.3
Southwestern Public Health,HepB,12,2020-2021,3 or more doses,7
Southwestern Public Health,HepB,12,2021-2022,3 or more doses,7.6
Southwestern Public Health,HepB,12,2022-2023,3 or more doses,7.1
Southwestern Public Health,HepB,12,2023-2024,3 or more doses,9
Southwestern Public Health,HPV,12,2019-2020,0 doses,28.9
Southwestern Public Health,HPV,12,2020-2021,0 doses,33.2
Southwestern Public Health,HPV,12,2021-2022,0 doses,30.9
Southwestern Public Health,HPV,12,2022-2023,0 doses,30.3
Southwestern Public Health,HPV,12,2023-2024,0 doses,35.4
Southwestern Public Health,HPV,12,2019-2020,1 dose,7.5
Southwestern Public Health,HPV,12,2020-2021,1 dose,6.4
Southwestern Public Health,HPV,12,2021-2022,1 dose,5.7
Southwestern Public Health,HPV,12,2022-2023,1 dose,7.4
Southwestern Public Health,HPV,12,2023-2024,1 dose,11.2
Southwestern Public Health,HPV,12,2019-2020,2 doses,62.8
Southwestern Public Health,HPV,12,2020-2021,2 doses,60
Southwestern Public Health,HPV,12,2021-2022,2 doses,63.4
Southwestern Public Health,HPV,12,2022-2023,2 doses,62.3
Southwestern Public Health,HPV,12,2023-2024,2 doses,53.3
Southwestern Public Health,HPV,12,2019-2020,3 or more doses,0.9
Southwestern Public Health,HPV,12,2020-2021,3 or more doses,0.4
Southwestern Public Health,HPV,12,2021-2022,3 or more doses,0
Southwestern Public Health,HPV,12,2022-2023,3 or more doses,0
Southwestern Public Health,HPV,12,2023-2024,3 or more doses,0.1
Huron Perth Public Health,Measles,7,2019-2020,0 doses,4.4
Huron Perth Public Health,Measles,7,2020-2021,0 doses,4.6
Huron Perth Public Health,Measles,7,2021-2022,0 doses,4.2
Huron Perth Public Health,Measles,7,2022-2023,0 doses,5.3
Huron Perth Public Health,Measles,7,2023-2024,0 doses,5.7
Huron Perth Public Health,Measles,7,2019-2020,1 dose,5.3
Huron Perth Public Health,Measles,7,2020-2021,1 dose,13.8
Huron Perth Public Health,Measles,7,2021-2022,1 dose,18.6
Huron Perth Public Health,Measles,7,2022-2023,1 dose,11
Huron Perth Public Health,Measles,7,2023-2024,1 dose,3.6
Huron Perth Public Health,Measles,7,2019-2020,2 or more doses,90.4
Huron Perth Public Health,Measles,7,2020-2021,2 or more doses,81.5
Huron Perth Public Health,Measles,7,2021-2022,2 or more doses,77.3
Huron Perth Public Health,Measles,7,2022-2023,2 or more doses,83.7
Huron Perth Public Health,Measles,7,2023-2024,2 or more doses,90.7
Huron Perth Public Health,HepB,12,2019-2020,0 doses,12.6
Huron Perth Public Health,HepB,12,2020-2021,0 doses,22.8
Huron Perth Public Health,HepB,12,2021-2022,0 doses,23.8
Huron Perth Public Health,HepB,12,2022-2023,0 doses,18.7
Huron Perth Public Health,HepB,12,2023-2024,0 doses,21.6
Huron Perth Public Health,HepB,12,2019-2020,1 dose,7.6
Huron Perth Public Health,HepB,12,2020-2021,1 dose,19.8
Huron Perth Public Health,HepB,12,2021-2022,1 dose,25.6
Huron Perth Public Health,HepB,12,2022-2023,1 dose,7
Huron Perth Public Health,HepB,12,2023-2024,1 dose,9.2
Huron Perth Public Health,HepB,12,2019-2020,2 doses,73.9
Huron Perth Public Health,HepB,12,2020-2021,2 doses,51.9
Huron Perth Public Health,HepB,12,2021-2022,2 doses,44.2
Huron Perth Public Health,HepB,12,2022-2023,2 doses,68.4
Huron Perth Public Health,HepB,12,2023-2024,2 doses,61.9
Huron Perth Public Health,HepB,12,2019-2020,3 or more doses,5.9
Huron Perth Public Health,HepB,12,2020-2021,3 or more doses,5.5
Huron Perth Public Health,HepB,12,2021-2022,3 or more doses,6.4
Huron Perth Public Health,HepB,12,2022-2023,3 or more doses,5.9
Huron Perth Public Health,HepB,12,2023-2024,3 or more doses,7.3
Huron Perth Public Health,HPV,12,2019-2020,0 doses,25.2
Huron Perth Public Health,HPV,12,2020-2021,0 doses,33.1
Huron Perth Public Health,HPV,12,2021-2022,0 doses,33.1
Huron Perth Public Health,HPV,12,2022-2023,0 doses,29.3
Huron Perth Public Health,HPV,12,2023-2024,0 doses,31.6
Huron Perth Public Health,HPV,12,2019-2020,1 dose,6.6
Huron Perth Public Health,HPV,12,2020-2021,1 dose,16.7
Huron Perth Public Health,HPV,12,2021-2022,1 dose,22.7
Huron Perth Public Health,HPV,12,2022-2023,1 dose,6.6
Huron Perth Public Health,HPV,12,2023-2024,1 dose,9.3
Huron Perth Public Health,HPV,12,2019-2020,2 doses,67.7
Huron Perth Public Health,HPV,12,2020-2021,2 doses,48.4
Huron Perth Public Health,HPV,12,2021-2022,2 doses,44
Huron Perth Public Health,HPV,12,2022-2023,2 doses,64.1
Huron Perth Public Health,HPV,12,2023-2024,2 doses,59.1
Huron Perth Public Health,HPV,12,2019-2020,3 or more doses,0.5
Huron Perth Public Health,HPV,12,2020-2021,3 or more doses,1.8
Huron Perth Public Health,HPV,12,2021-2022,3 or more doses,0.1
Huron Perth Public Health,HPV,12,2022-2023,3 or more doses,0.1
Huron Perth Public Health,HPV,12,2023-2024,3 or more doses,0
